Code,EQ,Species,Complexes,Complex2,Chemotype,Host,Year ,State,Municipality,Lat,Lon
F1274,3194,F. cortaderiae,FGSC,FGSC,3-ADON,Barley,2012,Parana,Guarapuava,-25.526122,-51.671456
F1275,3195,F. graminearum,FGSC,FGSC,15-ADON,Barley,2012,Parana,Guarapuava,-25.524375,-51.679075
F1283,2456,F. cortaderiae,FGSC,FGSC,NIV,Wheat,2012,Parana,Guarapuava,-25.558669,-51.796953
F1312,3193,F. graminearum,FGSC,FGSC,15-ADON,Barley,2012,Parana,Guarapuava,-25.526111,-51.673636
F1360,2448,F. meridionale,FGSC,FGSC,NIV,Wheat,2012,Parana,Guarapuava,-25.558669,-51.796953
F1416,3202,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2012,Parana,Guarapuava,-25.523006,-51.681639
F1417,3100,F. meridionale,FGSC,FGSC,NIV,Barley,2012,Parana,Guarapuava,-25.554389,-51.798617
F868,3195,FIESC ,FIESC,FIESC,NA,Barley,2012,Parana,Guarapuava,-25.524375,-51.679075
F869,3194,FIESC ,FIESC,FIESC,NA,Barley,2012,Parana,Guarapuava,-25.526122,-51.671456
F870,3192,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.52785,-51.668194
F871,3187,FFSC,FFSC,FFSC,NA,Barley,2012,Parana,Guarapuava,-25.532042,-51.663608
F872,3186,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.531286,-51.666036
F878,3127,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Cand—i,-25.476436,-51.865297
F879,3120,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.215986,-51.644061
F880,3121,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.215939,-51.642397
F901,3182,F. meridionale,FGSC,FGSC,NIV,Barley,2012,Parana,Turvo,-24.962033,-51.479214
F902,3178,F. graminearum,FGSC,FGSC,15-ADON,Barley,2012,Parana,Turvo,-24.962872,-51.478689
F903,3173,F. meridionale,FGSC,FGSC,NIV,Barley,2012,Parana,Turvo,-24.963711,-51.478161
F904,3172,F. meridionale,FGSC,FGSC,NIV,Barley,2012,Parana,Turvo,-24.963706,-51.479222
F905,3171,F. meridionale,FGSC,FGSC,NIV,Barley,2012,Parana,Turvo,-24.963703,-51.480281
F906,3108,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.553753,-51.797761
F907,3088,F. meridionale,FGSC,FGSC,NIV,Barley,2012,Parana,Goioxim,-25.223286,-51.879958
F908,3087,F. meridionale,FGSC,FGSC,NIV,Barley,2012,Parana,Guarapuava,-25.324403,-51.452403
F917,3270,F. meridionale,FGSC,FGSC,NIV,Wheat,2012,Parana,Guarapuava,-25.553614,-51.481647
F919,3268,F. meridionale,FGSC,FGSC,NIV,Wheat,2012,Parana,Guarapuava,-25.553978,-51.480044
F936,3070,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2012,Parana,Pinh‹o,-25.803128,-51.819833
F937,3061,F. meridionale,FGSC,FGSC,NIV,Wheat,2012,Parana,Campina do Sim‹o,-25.220906,-51.861317
F938,3056,F. meridionale,FGSC,FGSC,NIV,Wheat,2012,Parana,Campina do Sim‹o,-25.222278,-51.868931
F939,3054,F. meridionale,FGSC,FGSC,NIV,Wheat,2012,Parana,Guarapuava,-25.223911,-51.86705
F940,3045,F. meridionale,FGSC,FGSC,NIV,Wheat,2012,Parana,Roncador,-24.556672,-52.413036
